"pheno"	"rcoef"	"CI1"	"CI2"	"p_value"	"se"
"TDI"	-0.0209187623989852	-0.0243746891919386	-0.0174628356060318	1.85532813566447e-32	0.00176325371729821
"GGT"	-0.0198296178173371	-0.0233738019655835	-0.0162854336690907	5.63604800373759e-28	0.00180828328777487
"hip_cir"	-0.0194637027474311	-0.0229224561994492	-0.016004949295413	2.78655502465783e-28	0.00176469589982986
"lipid"	-0.018606118127919	-0.0228114719085113	-0.0144007643473267	4.28605661838465e-18	0.0021456161366579
"RA"	-0.0185816136140828	-0.0224377763065594	-0.0147254509216063	3.59987123631118e-21	0.0019674568687858
"neutrophil_count"	-0.0183499691542911	-0.0218569684250592	-0.0148429698835229	1.1301346324509e-24	0.00178931128447229
"WHR"	-0.0178551192963112	-0.0213121240705593	-0.014398114522063	4.40128059672273e-24	0.00176380371157378
"OA"	-0.0174675463844165	-0.0211356690739253	-0.0137994236949077	1.03268415466035e-20	0.00187151760414278
"weight"	-0.0173899160037699	-0.0208491782521174	-0.0139306537554224	6.71003552231365e-23	0.00176495549159309
"AnyDisease"	-0.0173492047336502	-0.0208034172307715	-0.0138949922365288	7.31601013926018e-23	0.00176237907166368
"cholest_medication"	-0.0171263922893306	-0.0205902174359427	-0.0136625671427184	3.32261296741869e-22	0.00176728351711254
"heart_rate"	-0.0167688170145588	-0.0203219557175066	-0.0132156783116109	2.25954400761415e-20	0.00181285195966869
"pneumonia"	-0.015582120251637	-0.0191079404464866	-0.0120563000567875	4.65894973365646e-18	0.00179891385714007
"balding"	-0.0153946739315037	-0.0204653632295993	-0.0103239846334081	2.67886407619642e-09	0.00258711271227319
"gout"	-0.0153799355153041	-0.0193240191601184	-0.0114358518704897	2.13132589636491e-14	0.002012314650302
"asthma"	-0.0153214938688757	-0.01919556317547	-0.0114474245622813	9.11692286937745e-15	0.00197659293352851
"HbA1c"	-0.0147956141015653	-0.0183374669276383	-0.0112537612754924	2.6767784721333e-16	0.00180709382074888
"nb_birth"	-0.0144043510615539	-0.0191360008134942	-0.00967270130961365	2.4260820106846e-09	0.00241413449918935
"aneurysm"	-0.0136255630294225	-0.0175310997472451	-0.00972002631159996	8.05346562833832e-12	0.00199264778243048
"reaction_time"	-0.0134353731389378	-0.0169036301275758	-0.00996711615029977	3.14492969932229e-14	0.00176954467821021
"emphysema"	-0.0133573609947139	-0.017119924001084	-0.00959479798834379	3.4581733933252e-12	0.00191970170021562
"CKD"	-0.0123060944258522	-0.015935388426303	-0.00867680042540141	3.020797928211e-11	0.0018517069450533
"hypothyroidism"	-0.0119064122760717	-0.0154262968738979	-0.00838652767824538	3.3662508008554e-11	0.00179588547979877
"beef"	-0.0117901389847999	-0.0152505453325913	-0.00832973263700852	2.42741121276977e-11	0.0017655392237003
"light_smoker"	-0.0117672524704526	-0.0184113011895756	-0.00512320375132961	0.000518131678112059	0.00338983558979248
"cirrhosis"	-0.0115460475136976	-0.0150577296250211	-0.008034365402374	1.16392908962389e-10	0.00179170050044066
"SHBG"	-0.0113783766624154	-0.0150853364139427	-0.00767141691088815	1.78930719336625e-09	0.00189133255003051
"osteoporosis"	-0.0111120136513175	-0.0146653312640786	-0.00755869603855643	8.83927054983405e-10	0.00181294323985929
"coffee"	-0.0110895495198589	-0.0146712001316281	-0.00750789890808973	1.29273824633832e-09	0.00182739895202448
"celiac"	-0.0110736478797835	-0.0148932299379205	-0.00725406582164646	1.33027389776295e-08	0.00194879316786104
"AKI"	-0.0108154954290773	-0.0144451478879252	-0.0071858429702294	5.21783212499273e-09	0.00185188983583244
"B12A"	-0.0100386768113561	-0.0135942117195892	-0.00648314190312301	3.13672619408074e-08	0.00181407450626169
"insomia"	-0.0100369562468639	-0.0134929731218197	-0.00658093937190814	1.25562398332028e-08	0.00176329968137433
"Cr"	-0.00994635522506902	-0.0134822897430921	-0.00641042070704595	3.5250198503644e-08	0.00180407426440412
"valves"	-0.00989495692195907	-0.014302024672327	-0.00548788917159118	1.0799308408812e-05	0.00224853149358184
"anaemia"	-0.00977040606819689	-0.0132740681242804	-0.00626674401211335	4.61618471916532e-08	0.00178760860528737
"ALP"	-0.00972105717182667	-0.0132569340358225	-0.00618518030783089	7.11086873936798e-08	0.00180404484875206
"neuroticism"	-0.00957358638774308	-0.0134062894766702	-0.00574088329881593	9.7987731043417e-07	0.00195548764316546
"stroke_ischemic"	-0.00941383614337956	-0.0137433419490545	-0.00508433033770461	2.03003096562116e-05	0.00220895905914009
"HTN_essential"	-0.00935317782441478	-0.0131720349318513	-0.00553432071697823	1.58449254079749e-06	0.00194842333799419
"conduction"	-0.00918630160981847	-0.0133751534491336	-0.00499744977050334	1.72191450119933e-05	0.00213719675377907
"cataract"	-0.00895857510439654	-0.0124879665570528	-0.00542918365174025	6.52987539816022e-07	0.00180073594955398
"testosterone"	-0.0087875385730014	-0.0124909743820767	-0.00508410276392613	3.31063224147604e-06	0.00188953460460652
"psoriasis"	-0.00874522860306068	-0.012324702676618	-0.00516575452950333	1.68091420309184e-06	0.0018262884601163
"reticulocyte_count"	-0.00854847588461514	-0.0120808390256565	-0.00501611274357378	2.10443071266842e-06	0.00180225212212618
"WHRadjBMI"	-0.00836194256133124	-0.0118223937754013	-0.00490149134726117	2.17924218486914e-06	0.00176556211293668
"AA"	-0.00818331059214876	-0.0117424604665002	-0.00462416071779737	6.59522205118058e-06	0.00181591888915432
"age_glasses"	-0.00706230439620623	-0.0107814912567064	-0.00334311753570605	0.000197877656445088	0.0018975709138767
"mineral"	-0.00649962829733624	-0.00996323517150642	-0.00303602142316606	0.000235124530691965	0.00176717215168324
"T1D"	-0.00646616272886987	-0.0100839217496317	-0.00284840370810801	0.000459884791426673	0.001845821705777
"IDA"	-0.00639021809060902	-0.00990808513923802	-0.00287235104198002	0.000370493135272321	0.0017948560935892
"bipolar"	-0.00633859432943559	-0.0100005312640796	-0.00267665739479163	0.000692432842435834	0.00186836158822017
"age_death"	-0.00625124223084975	-0.0193002926061077	0.0067978081444082	0.347748920078624	0.00665745737349495
"depression"	-0.00598818567768776	-0.00965087382471001	-0.00232549753066551	0.00135364285049387	0.00186874485633056
"mobile_phone"	-0.00592023884502756	-0.00939520425845622	-0.0024452734315989	0.000840388747917277	0.00177296736827848
"ApoA"	-0.00546875835767771	-0.00916448911526105	-0.00177302760009438	0.00372870710776597	0.00188560344116097
"glucose"	-0.0050079702749911	-0.00870877247734553	-0.00130716807263666	0.00799598262926508	0.00188819092599927
"cholelithiasis"	-0.0049067271437645	-0.00839893877687717	-0.00141451551065183	0.00589011816478888	0.0017817665253071
"AD"	-0.00481125726442637	-0.00830992581370424	-0.00131258871514851	0.00703310824120197	0.00178506087901571
"apnea"	-0.0044811656906733	-0.00809444854110082	-0.000867882840245786	0.0150685206029075	0.00184353794062801
"SCZ"	-0.00445730199095439	-0.00812033696705572	-0.000794267014853064	0.0170816713351435	0.00186892180899878
"cornea"	-0.00445222275867151	-0.00810717840790643	-0.000797267109436586	0.0169637110639145	0.00186479972866531
"epilepsy"	-0.0044161569308488	-0.00801580561527675	-0.00081650824642086	0.0161928942122717	0.00183658169217447
"risk_taking"	-0.00433463253019229	-0.00784860570303029	-0.000820659357354282	0.015619228670137	0.00179286942283373
"ALT"	-0.00425957008570292	-0.00780061971096177	-0.000718520460444061	0.0183905114164316	0.00180668403155883
"PE"	-0.00421561791082689	-0.00773384366068285	-0.000697392160970925	0.0188507106583178	0.00179503910776907
"computer_games"	-0.00375302460329611	-0.00720870980370924	-0.000297339402882977	0.0332869468699782	0.00176313045868111
"BMR"	-0.00339705604144645	-0.00688050964130441	8.63975584115086e-05	0.0559592693200656	0.00177729810489578
"hyperthyroidism"	-0.00312133508040721	-0.00670708292774758	0.000464412766933172	0.0879861035226799	0.00182948939138435
"sun_protection"	-0.00305508687763935	-0.00651073331229945	0.000400559557020752	0.0831353385399254	0.00176311067980233
"sarcoidosis"	-0.00302223557767346	-0.00650173629189944	0.000457265136552524	0.0886817411149217	0.00177528130760216
"PD"	-0.00299236297947959	-0.00653165345297169	0.000546927494012519	0.0975009343932517	0.00180578649227106
"scoliosis"	-0.00247143929442196	-0.0060551506658202	0.00111227207697629	0.176485816960457	0.0018284503698788
"PKD"	-0.00226650988582436	-0.00592553845674049	0.00139251868509176	0.224724113931405	0.00186687772680356
"sleep"	-0.00182788980118359	-0.00546503969060724	0.00180926008824005	0.324622125513547	0.00185571507261823
"IBD"	-0.0015076747171758	-0.00544295878925478	0.00242760935490318	0.452713890013647	0.0020078250539887
"SLE"	-0.000628570614437274	-0.0044022932236024	0.00314515199472785	0.744074233751818	0.00192539541664869
"HDL"	-0.000458246337315023	-0.00414451991759348	0.00322802724296343	0.807504260885366	0.00188077832475453
"hernia"	-0.000402656194531512	-0.00404186101479516	0.00323654862573214	0.828318250807159	0.00185676351537719
"stroke_hemorrhagic"	-0.000192960567926009	-0.00453183555919279	0.00414591442334077	0.93054045028017	0.00221373925915079
"age"	4.74737343552594e-05	-0.00340729060366892	0.00350223807237944	0.978513191516344	0.0017626606272596
"bilirubin"	4.93941707299782e-05	-0.00352849551523816	0.00362728385669812	0.978413347163065	0.00182548007843772
"age2"	5.59690117736626e-05	-0.00339877714813234	0.00351071517167966	0.974669254565085	0.00176265135257396
"TG"	6.29218534482142e-05	-0.00347718404374115	0.00360302775063758	0.972210103373966	0.00180620253498521
"sex"	0.00028379623512244	-0.00317095023595709	0.00373854270620196	0.872089327469128	0.00176265151133828
"array"	0.000297637535765526	-0.00315733021070962	0.00375260528224067	0.865917070524538	0.00176276440859826
"bread"	0.00033761432499323	-0.00886243193562652	0.00953766058561298	0.942660516162276	0.00469386319499499
"pituitary"	0.000375008744360776	-0.00308244997945953	0.00383246746818108	0.831650234270698	0.00176403532134383
"Ca"	0.000563931900236544	-0.00312322085553622	0.00425108465600931	0.764354233424532	0.0018812268871147
"OC"	0.000768326698667462	-0.00486766301724842	0.00640431641458335	0.789319560408006	0.00287552910588716
"urea"	0.00081149458828295	-0.00272525381430331	0.00434824299086921	0.652920832972609	0.0018044895142191
"headaches"	0.00102685181349898	-0.00256956597738798	0.00462326960438594	0.575744117268856	0.00183493326659608
"glasses"	0.00110592932237334	-0.00235050728955573	0.00456236593430241	0.530583057766597	0.00176351383525706
"glaucoma"	0.00116607522072752	-0.00247833948189068	0.00481048992334573	0.530582932108673	0.0018594216294042
"oestradiol"	0.00116704761047534	-0.0077658149351575	0.0100999101561082	0.797898747787348	0.00455755392211162
"endometriosis"	0.00126642813550217	-0.00404586419959905	0.00657872047060339	0.640320844317303	0.00271037910971508
"diastolic_BP"	0.00245758477677959	-0.0010955112519337	0.00601068080549288	0.175207781517874	0.00181283018833093
"cardiomyopathies"	0.00249473927032938	-0.00195157848558802	0.00694105702624678	0.271462846564776	0.00226855698725829
"sleep_duration"	0.00310353726193561	-0.000360527329221344	0.00656760185309256	0.079091985341558	0.00176740568602516
"CRC"	0.00310524349738451	-0.000920032369971313	0.00713051936474033	0.130536495708405	0.0020537393805811
"phosphate"	0.00316263103493195	-0.00052625563449524	0.00685151770435914	0.0928877726400181	0.00188211154304876
"KS"	0.00365455367316437	2.29075634817135e-05	0.00728619978284702	0.0485723017857526	0.0018529070046151
"LPA"	0.00366045425534624	-0.000296183785970957	0.00761709229666344	0.0697937143847645	0.0020187200129731
"menarche"	0.00369580287092085	-0.00110224870333767	0.00849385444517936	0.131117923635792	0.0024480128821074
"water_intake"	0.00395730761368995	0.000367998362772101	0.0075466168646078	0.0307022759513703	0.00183130644551451
"systolic_BP"	0.00486953849022776	0.00131642905123591	0.00842264792921961	0.00722861933348461	0.00181283702988567
"BMD"	0.00487464930170568	0.000320556011728539	0.00942874259168281	0.0359120878651062	0.00232354448159688
"vitamin_D"	0.00533802033967082	0.00172478239093578	0.00895125828840586	0.0037850270366818	0.00184351504339995
"MS"	0.00546654135991701	0.00185525078748639	0.00907783193234763	0.0030086186336964	0.00184252146133314
"platelet_count"	0.00550434417574683	0.00200064822882759	0.00900804012266606	0.00207619509007093	0.001787625906009
"vegetable"	0.00587837588028437	0.00237023366715029	0.00938651809341845	0.00102282637889856	0.00178989442089214
"alcool_frq"	0.00672924990082652	0.00315794024493606	0.010300559556717	0.000221591444983305	0.00182212291084731
"physical_activity"	0.00676655555365281	0.00323282087606094	0.0103002902312447	0.000174733137567286	0.00180295188528285
"albumin"	0.00746527643291987	0.00378030122818255	0.0111502516376572	7.16954497048667e-05	0.00188011588302851
"BC"	0.00792179182300132	0.00245580033053405	0.0133877833154686	0.00450389748890876	0.00278879629870061
"KC"	0.00807189064800787	0.00402201925130001	0.0121217620447157	9.36810597107492e-05	0.00206628814677692
"facial_hair"	0.00809354736044015	0.00295916286289605	0.0132279318579843	0.00200464351397588	0.00261961004194907
"hand_grip_avg"	0.00945581412358029	0.00599177550376542	0.0129198527433952	8.79416432190147e-08	0.00176739243468756
"menstruation"	0.0112308165252192	0.00610977650543496	0.0163518565450035	1.72160856582369e-05	0.00261280214718298
"age_cancer"	0.0114142188054781	0.00311959171805052	0.0197088458929057	0.00699543676146534	0.00423193988418478
"birth_weight_first_child"	0.0128134988348518	0.00753892042931282	0.0180880772403908	1.92476907651931e-06	0.00269113749265522
"bilirubin_umolL"	0.0128956114083488	0.00934794777822256	0.0164432750384751	1.0475179627839e-12	0.00181005854548898
"fruit"	0.0139918348369251	0.0104746981984579	0.0175089714753923	6.35220049536909e-15	0.00179448344468403
"birthweight"	0.0145087744991342	0.00997262787679807	0.0190449211214703	3.64289817273827e-10	0.00231438804227345
"cheese"	0.0176007555404319	0.0141063771962746	0.0210951338845892	5.540619539242e-23	0.00178287199085699
"height"	0.0179794196200375	0.0145216180429386	0.0214372211971364	2.18932867502148e-24	0.00176421024792378
"ApoB"	0.0185595931558657	0.0150187252902327	0.0221004610214986	9.38669467473521e-25	0.00180659129499569
"FVC"	0.0192884898015191	0.0156856661476626	0.0228913134553756	9.38731254778135e-26	0.00183820158041339
"cholesterol"	0.0194965295832407	0.0159639071924622	0.0230291519740191	2.88997748582488e-27	0.00180238439235274
"LDL"	0.0223024627345895	0.0187670328308947	0.0258378926382842	4.17025721872862e-35	0.00180381680536977
"reproductive_lp"	0.0226848203431439	0.0164041797005925	0.0289654609856954	1.45950252547351e-12	0.00320442760838044
"household_income"	0.0253370214730332	0.0216186839882569	0.0290553589578094	1.13409541087422e-40	0.00189713754965367
"menopause"	0.0255339319359069	0.0193192658933507	0.031748597978463	8.17270978801595e-16	0.00317076771237647
"PC"	0.0288996708301392	0.0232179581851211	0.0345813834751574	2.12119746198026e-23	0.00289885632280197
"mother_age_death"	0.0290789969112785	0.0245711560161417	0.0335868378064153	1.25983618282421e-36	0.0022999464536318
"father_age_death"	0.0292604704058624	0.0252278786963697	0.0332930621153551	7.03281010099321e-46	0.00205747204943028
"prox_life_span"	0.030101676106242	0.0262762247345795	0.0339271274779046	1.21744940105194e-53	0.0019517878031543
"fluid_intelligence"	0.0303893984834492	0.0247349936413391	0.0360438033255593	6.19035427923969e-26	0.00288492431277753
"age_last_birth"	0.0336454635591948	0.0284082310053335	0.038882696113056	2.46096561687569e-36	0.00267208359315178
"IGF1"	0.0356180472602476	0.0320777390825062	0.0391583554379889	1.68605595249231e-86	0.00180630572841134
"RBC_count"	0.0388750424083732	0.0353746918762824	0.0423753929404639	5.64272641033229e-105	0.00178591904003691
"age_first_birth"	0.0416446830521898	0.0364122309374108	0.0468771351669687	8.17462904823761e-55	0.00266964459618526
"age_end_education"	0.0470490174214556	0.043579266606197	0.0505187682367141	1.86619814336402e-155	0.00177030682401506
