exposure	outcome	method	nsnp	b	se	pval	Q	Q_pval
ALCOOLF	TELOMERE	MR Egger	90	0.203577272963159	0.0672309049247872	0.0032294469810591	296.612290495069	2.07598240268723e-24
ALCOOLF	TELOMERE	Simple mode	90	0.0177791904547409	0.0477920231312388	0.710768453437293		
ALCOOLF	TELOMERE	Weighted median	90	0.0853805802522178	0.0227446753344382	0.000174124404017387		
ALCOOLF	TELOMERE	Weighted mode	90	0.0912527271869644	0.0282799629712565	0.00175273654674182		
ALCOWF	TELOMERE	Inverse variance weighted	38	-0.0856854656708923	0.02239151354323	0.000129875913744155	81.4683757952173	3.4639201301134e-05
ALCOWF	TELOMERE	MR Egger	38	-0.102904512855878	0.0545426501606729	0.0672890792935136	81.1966772620879	2.43221589331798e-05
ALCOWF	TELOMERE	Simple mode	38	-0.0753556544176024	0.0414748539390171	0.0773396139649785		
ALCOWF	TELOMERE	Weighted median	38	-0.0792230646082687	0.0234664232021481	0.000735431363115591		
ALCOWF	TELOMERE	Weighted mode	38	-0.0832996291808541	0.0242327578629029	0.00146671762602812		
ALP	TELOMERE	Inverse variance weighted	855	-0.00204809355447105	0.00427267279521186	0.631691680036489	2178.92273842145	1.22247366587768e-116
ALP	TELOMERE	MR Egger	855	0.00982130000036198	0.00770600909586621	0.20283375105687	2170.21828730132	1.08319118106957e-115
ALP	TELOMERE	Simple mode	855	-0.014703373674007	0.0126786990246209	0.246498743304885		
ALP	TELOMERE	Weighted median	855	0.00453133890394549	0.00513647750069616	0.377675140605088		
ALP	TELOMERE	Weighted mode	855	0.00776168226449303	0.00573697198078505	0.176438232918413		
ALT	TELOMERE	Inverse variance weighted	362	-0.0189101134237392	0.00973333557679572	0.0520379800966131	1238.36898274046	1.57231493459807e-96
ALT	TELOMERE	MR Egger	362	-0.00568997460087767	0.0243100330374353	0.815072461279744	1237.15823919194	1.30170413358093e-96
ALT	TELOMERE	Simple mode	362	-0.00786935349964779	0.0247589635279104	0.750791164242666		
ALT	TELOMERE	Weighted median	362	-0.00770935553593462	0.0102058858672715	0.450019042830273		
ALT	TELOMERE	Weighted mode	362	-0.00402107649462069	0.0118418930263817	0.734382613706786		
ANAEMIAOTHER	TELOMERE	Inverse variance weighted	2	-0.283104229585789	0.223830740503378	0.205938051023942	34.8190202971166	3.61821313232056e-09
ANEURYSM	TELOMERE	Inverse variance weighted	2	-0.000632620363154527	0.0167148460726064	0.969809022652461	0.488591445256727	0.484556302104442
SLEEPAPNO_FIG	TELOMERE	Inverse variance weighted	7	0.0142270384927978	0.0557881348387159	0.798708367179006	27.6490198411591	0.00010939412662606
SLEEPAPNO_FIG	TELOMERE	MR Egger	7	0.210264705370107	0.250960170017693	0.44031978145394	24.4940438439542	0.000174434926130806
SLEEPAPNO_FIG	TELOMERE	Simple mode	7	-0.00839630873487868	0.059747427913091	0.89284033978567		
SLEEPAPNO_FIG	TELOMERE	Weighted median	7	0.0256046783929994	0.0392472222295334	0.51414660518353		
SLEEPAPNO_FIG	TELOMERE	Weighted mode	7	-0.00970484982492431	0.0452091773101595	0.837138195612294		
APOA	TELOMERE	Inverse variance weighted	616	-0.00392194233554794	0.00621886754099444	0.528267976557992	2288.21048819099	1.1333359992934e-190
APOA	TELOMERE	MR Egger	616	0.0102984212647212	0.0120283069602526	0.392231059112282	2281.1271250942	7.84981446030346e-190
APOA	TELOMERE	Simple mode	616	-0.0168415776129511	0.0150177450619602	0.262536099903894		
APOA	TELOMERE	Weighted median	616	-0.00713699844520715	0.00664999985957475	0.283166645468422		
APOA	TELOMERE	Weighted mode	616	-0.0168415776129511	0.00726358868260911	0.0207420246668498		
APOB	TELOMERE	Inverse variance weighted	446	0.0287480213253612	0.00454645592365523	2.5624833246183e-10	873.36417147502	3.77868876806294e-30
APOB	TELOMERE	MR Egger	446	0.0327191365293869	0.00726730369465291	8.60346805266975e-06	872.399487688181	3.41259503019908e-30
APOB	TELOMERE	Simple mode	446	0.0357165178841165	0.0158738453605538	0.0249352853535088		
APOB	TELOMERE	Weighted median	446	0.0232858794203656	0.00647297361096774	0.000321413212134269		
APOB	TELOMERE	Weighted mode	446	0.0274946376358854	0.0056586246229988	1.63854411898595e-06		
AST	TELOMERE	Inverse variance weighted	488	-0.0251414959268655	0.00768414875103984	0.00106840649108166	1311.14349219331	8.94160015225218e-77
AST	TELOMERE	MR Egger	488	0.0145340035967276	0.020595295190169	0.480715741103857	1299.62705302396	2.04619688652405e-75
AST	TELOMERE	Simple mode	488	-0.00815172939470621	0.0232389609012093	0.725906161935742		
AST	TELOMERE	Weighted median	488	-0.00771242293420532	0.0089059057297811	0.386495791565755		
AST	TELOMERE	Weighted mode	488	-0.00125973033304394	0.0124215477776421	0.919262829184333		
ASTHMA	TELOMERE	Inverse variance weighted	231	-0.0299814852870258	0.0109532061259039	0.00619582544278878	487.211255658701	1.41755113820725e-20
ASTHMA	TELOMERE	MR Egger	231	0.00232604840809629	0.0329830434169926	0.943839298166132	484.927778915423	1.7844571793862e-20
ASTHMA	TELOMERE	Simple mode	231	-0.0447835033834371	0.0347651091227158	0.198979889207903		
ASTHMA	TELOMERE	Weighted median	231	-0.0217523377486445	0.0124987100621956	0.0817946634117594		
ASTHMA	TELOMERE	Weighted mode	231	-0.0292396881375423	0.0246231652965628	0.236260509576833		
B12A	TELOMERE	Inverse variance weighted	2	-0.0101975363724972	0.0139702663936351	0.465423354929407	1.27888920334856	0.258105671319753
BALDING	TELOMERE	Inverse variance weighted	918	-0.00476121355515053	0.00325047687891337	0.142982626715191	1725.83339780509	4.01887719895935e-52
BALDING	TELOMERE	MR Egger	918	0.001858918565208	0.00706626100073799	0.792556082289848	1723.73847208565	4.78998771067252e-52
BALDING	TELOMERE	Simple mode	918	0.00536846465584406	0.0114669514984	0.639775402014907		
BALDING	TELOMERE	Weighted median	918	-0.00110875246529373	0.00392343462220958	0.777485465419825		
BALDING	TELOMERE	Weighted mode	918	0.00190327375714694	0.00616672807679309	0.757668599230328		
BREASTCANCER	TELOMERE	Inverse variance weighted	232	-0.0172266049889814	0.00910982200918586	0.0586253469714167	722.837399254294	4.56458617185068e-52
BREASTCANCER	TELOMERE	MR Egger	232	-0.0336760756381993	0.0210718304889018	0.111381096565182	720.489039694219	5.73954099203362e-52
BREASTCANCER	TELOMERE	Simple mode	232	-6.65826302057582e-05	0.0223671730775005	0.99762742881372		
BREASTCANCER	TELOMERE	Weighted median	232	-0.0120472887205449	0.00973695838723605	0.215985252389753		
BREASTCANCER	TELOMERE	Weighted mode	232	-6.65826302057582e-05	0.0122051808750962	0.995652049300622		
BEEF	TELOMERE	Inverse variance weighted	8	0.0726562368816235	0.0596735688093364	0.223390671907599	10.2607695779221	0.174271216725192
BEEF	TELOMERE	MR Egger	8	0.634924011517861	0.615575005206429	0.342109654526024	8.99751432451939	0.173717911815145
BEEF	TELOMERE	Simple mode	8	-0.0700095681114655	0.127956074575607	0.601283561067961		
BEEF	TELOMERE	Weighted median	8	-0.0119635780733547	0.0685580582519634	0.861470273756795		
BEEF	TELOMERE	Weighted mode	8	-0.0700095681114655	0.135258317803704	0.62068844272205		
BIL	TELOMERE	Inverse variance weighted	419	-0.00516742314544972	0.00351587596721237	0.141632215549977	931.853223096314	3.4194323516738e-41
BIL	TELOMERE	MR Egger	419	-0.004467562166385	0.0050459018398605	0.376459662404024	931.769493276579	2.33544784067554e-41
BIL	TELOMERE	Simple mode	419	-0.0037138889501106	0.0081300572724774	0.648045130098276		
BIL	TELOMERE	Weighted median	419	-0.0059518596147412	0.00393951207112005	0.130836517959159		
BIL	TELOMERE	Weighted mode	419	-0.0037138889501106	0.00344936542535315	0.282240865631984		
BIPOLAR	TELOMERE	Inverse variance weighted	63	0.0150978323458896	0.0176992068847776	0.393646493519931	148.530872412634	4.62842163472166e-09
BIPOLAR	TELOMERE	MR Egger	63	0.318538666667275	0.151940506526477	0.0401953649655991	139.303314529587	4.63227146194947e-08
BIPOLAR	TELOMERE	Simple mode	63	0.0240502616894744	0.0392731417074033	0.542522977221618		
BIPOLAR	TELOMERE	Weighted median	63	0.0139856768930717	0.0174876187378482	0.423857188141484		
BIPOLAR	TELOMERE	Weighted mode	63	0.0202897868384003	0.0375498338046446	0.590896403447507		
BWEIGHTFC	TELOMERE	Inverse variance weighted	60	0.0295681953353959	0.0249969799416492	0.236860392622632	318.522549235593	2.91944601880547e-37
BWEIGHTFC	TELOMERE	MR Egger	60	0.333689961445278	0.137530883813064	0.0183839170010575	293.029809628569	4.18019424926765e-33
BWEIGHTFC	TELOMERE	Simple mode	60	0.0117794223661977	0.0360304151142684	0.744877915786379		
BWEIGHTFC	TELOMERE	Weighted median	60	-0.000201417809764159	0.0185098174497009	0.99131785121185		
BWEIGHTFC	TELOMERE	Weighted mode	60	-0.000348520820370402	0.0308161208505181	0.991014520400054		
BIRTHWEIGHT	TELOMERE	Inverse variance weighted	128	0.0466307292978791	0.0153542590496069	0.00238953480669613	442.112542833625	1.88132203135827e-36
BIRTHWEIGHT	TELOMERE	MR Egger	128	0.0524202449647139	0.062979439019874	0.406792402515957	442.08100394317	1.01066550536537e-36
BIRTHWEIGHT	TELOMERE	Simple mode	128	0.0239703142329097	0.0344974160697176	0.488422510215725		
BIRTHWEIGHT	TELOMERE	Weighted median	128	0.0352993213302514	0.0134719753937929	0.00878772286678002		
BIRTHWEIGHT	TELOMERE	Weighted mode	128	0.0469332310029252	0.0292963889963067	0.111636884427808		
BMD	TELOMERE	Inverse variance weighted	601	-0.00147214653962457	0.00428844466288528	0.731386201839252	1136.15461676784	1.47594696874136e-35
BMD	TELOMERE	MR Egger	601	0.00460505448464717	0.0106493009449794	0.665586102421651	1135.41769543919	1.2743951814604e-35
BMD	TELOMERE	Simple mode	601	0.0140862488741844	0.0164356728378571	0.391757568764679		
BMD	TELOMERE	Weighted median	601	0.00528493844718839	0.00527362910140127	0.316273803807243		
BMD	TELOMERE	Weighted mode	601	0.0140862488741844	0.0115586263522697	0.223445196550306		
BMI	TELOMERE	Inverse variance weighted	663	-0.0480505598381503	0.00772083999919735	4.86220113137705e-10	1718.67322244502	6.72653105069252e-95
BMI	TELOMERE	MR Egger	663	-0.0634272224909064	0.0288982610299356	0.0285217414405543	1717.88077572166	5.32020389599448e-95
BMI	TELOMERE	Simple mode	663	-0.0813972732899924	0.0306597994476726	0.00812505406694042		
BMI	TELOMERE	Weighted median	663	-0.0452849624692095	0.00880758314722166	2.72426221982403e-07		
BMI	TELOMERE	Weighted mode	663	-0.0521812371018267	0.0175761633064554	0.00309706065029252		
BMR	TELOMERE	Inverse variance weighted	1032	0.00282121719646457	0.0061332120961542	0.645523285462398	3032.68139184583	6.96961210551587e-196
BMR	TELOMERE	MR Egger	1032	0.0318982556158092	0.0205978269602374	0.121779710169329	3026.25750740341	3.39192694880431e-195
BMR	TELOMERE	Simple mode	1032	-0.0461924699948572	0.0299319327729358	0.123076875310499		
BMR	TELOMERE	Weighted median	1032	-0.00557730398387156	0.00646773306260495	0.388507332317711		
BMR	TELOMERE	Weighted mode	1032	0.0209339546375744	0.0257656816313916	0.416707075378918		
BFM	TELOMERE	Inverse variance weighted	596	-0.0497096670909064	0.00860595010352458	7.64077010894619e-09	1710.02060404102	2.32030393606747e-108
BFM	TELOMERE	MR Egger	596	-0.0411212520731862	0.0349064577522698	0.239251841416707	1709.83505409451	1.45122384718575e-108
BFM	TELOMERE	Simple mode	596	-0.0755764485179871	0.0316125242673762	0.0171256212886128		
BFM	TELOMERE	Weighted median	596	-0.0523370767890858	0.00870378326696004	1.81962534637865e-09		
BFM	TELOMERE	Weighted mode	596	-0.0671396327833653	0.0214134281433231	0.00180083634540527		
CA	TELOMERE	Inverse variance weighted	435	-0.010371367325836	0.00655037392703977	0.113347528366038	916.366259605612	1.18161462252155e-36
CA	TELOMERE	MR Egger	435	-0.0014823987829683	0.0159006353075269	0.925764834141616	915.570146864527	1.0009417870742e-36
CA	TELOMERE	Simple mode	435	-0.0122756715515917	0.0187865126775599	0.513825109488923		
CA	TELOMERE	Weighted median	435	-0.0195654956815825	0.00903178105641475	0.0302887061971767		
CA	TELOMERE	Weighted mode	435	-0.014986557433924	0.00995079331375792	0.132777540365794		
CATARACT	TELOMERE	Inverse variance weighted	61	-0.0141779981165087	0.0152402069470421	0.352214636860537	86.4091967666843	0.014409322644693
CATARACT	TELOMERE	MR Egger	61	-0.0674947661680205	0.053585905711149	0.212787449309124	84.8601639600689	0.0153564464767148
CATARACT	TELOMERE	Simple mode	61	0.0262156737904359	0.0390019776912461	0.504060358599236		
CATARACT	TELOMERE	Weighted median	61	-0.00459752640384184	0.0198263894129963	0.816624040794334		
CATARACT	TELOMERE	Weighted mode	61	0.0138423682783972	0.0332203659938254	0.678397110085243		
CELIAC_FIG	TELOMERE	Inverse variance weighted	77	0.00565624203707511	0.00366182649935738	0.122430830422353	258.786863518771	8.94559180437397e-22
CELIAC_FIG	TELOMERE	MR Egger	77	-0.00307765074311012	0.0101347899306035	0.762218731004231	255.871944117539	1.3621206199882e-21
CELIAC_FIG	TELOMERE	Simple mode	77	-0.00104876314680104	0.00581367924011459	0.857322040220734		
CELIAC_FIG	TELOMERE	Weighted median	77	0.00185701643085926	0.0032926107522708	0.572757446144632		
CELIAC_FIG	TELOMERE	Weighted mode	77	0.000694928549374974	0.00410588375935129	0.86604820433683		
CHEESE	TELOMERE	Inverse variance weighted	51	-0.00206069349393284	0.0319672788088847	0.94860189631064	132.979130873894	1.84686080618904e-09
CHEESE	TELOMERE	MR Egger	51	-0.0028075622497265	0.248523809895491	0.991032396607485	132.979105943181	1.10299170834477e-09
CHEESE	TELOMERE	Simple mode	51	0.0182828017157606	0.061179714674231	0.766302475368886		
CHEESE	TELOMERE	Weighted median	51	0.0106622227707749	0.0290028780326771	0.713151849320444		
CHEESE	TELOMERE	Weighted mode	51	0.0109721529267695	0.0498211745397941	0.826588229030882		
CHOLELITHIASIS	TELOMERE	Inverse variance weighted	43	0.00171913538100013	0.00818848817143524	0.833710291843165	68.1036753578821	0.00659724587248935
CHOLELITHIASIS	TELOMERE	MR Egger	43	0.0204999146209979	0.0180141609472718	0.261731578270859	65.9063974108259	0.00810741366162268
CHOLELITHIASIS	TELOMERE	Simple mode	43	0.0210673220580874	0.0209420743768674	0.320185660977917		
CHOLELITHIASIS	TELOMERE	Weighted median	43	0.0172360750786929	0.0103380964518043	0.0954669389659752		
CHOLELITHIASIS	TELOMERE	Weighted mode	43	0.0193256949080564	0.0101519419970392	0.0638236046408046		
CHOLEST	TELOMERE	Inverse variance weighted	391	0.0352267415959466	0.00621916734601348	1.47693496681871e-08	950.495232208167	1.06720731477318e-48
CHOLEST	TELOMERE	MR Egger	391	0.0418475001819047	0.0116922928142368	0.000388401086154777	949.403305596547	9.42012507106779e-49
CHOLEST	TELOMERE	Simple mode	391	0.00416254282722517	0.017169221844299	0.80856503171757		
CHOLEST	TELOMERE	Weighted median	391	0.0173124392097687	0.0075494596277696	0.021836352969374		
CHOLEST	TELOMERE	Weighted mode	391	0.0208914955091297	0.00840930333336829	0.013398335328793		
CKD	TELOMERE	Inverse variance weighted	24	-0.0245535774215113	0.0344910038968009	0.4765369051585	43.8090547675222	0.00554439021267455
CKD	TELOMERE	MR Egger	24	-0.125918228898382	0.105936726057733	0.247262982889487	41.8606738505451	0.00649820579620135
CKD	TELOMERE	Simple mode	24	-0.0483010073769646	0.0664683703916743	0.474755627939489		
CKD	TELOMERE	Weighted median	24	-0.0414985544491496	0.0410705591287653	0.312293642284953		
CKD	TELOMERE	Weighted mode	24	-0.045976420091714	0.0472571712560773	0.340725477667425		
COFFEE	TELOMERE	Inverse variance weighted	32	-0.0352568713937867	0.0251070195827887	0.16024039660415	96.2331999222743	1.3251974858207e-08
COFFEE	TELOMERE	MR Egger	32	-0.079148608826536	0.0553855239597009	0.163320964385034	93.7584868932923	1.74909604401402e-08
COFFEE	TELOMERE	Simple mode	32	-0.0687154770385899	0.0419110479920532	0.111208132455649		
COFFEE	TELOMERE	Weighted median	32	-0.0741980364827064	0.0228628573921716	0.00117305225510024		
COFFEE	TELOMERE	Weighted mode	32	-0.0772901646036091	0.0257462555864724	0.00526205007027986		
VGAMES	TELOMERE	Inverse variance weighted	31	0.00990330300595817	0.0297963392172668	0.739612581199929	47.896223121454	0.0203031376453249
VGAMES	TELOMERE	MR Egger	31	0.419785706543454	0.210824935297385	0.0559587438957957	42.2827086879737	0.0529554534953952
VGAMES	TELOMERE	Simple mode	31	0.112220881062598	0.0844592755257065	0.193966245756279		
VGAMES	TELOMERE	Weighted median	31	0.0695739495765082	0.0354011505767948	0.0493793022749986		
VGAMES	TELOMERE	Weighted mode	31	0.109895803702273	0.0622236385434851	0.0875478225707028		
AF	TELOMERE	Inverse variance weighted	193	0.00122781392861054	0.00903327600575125	0.891883557103587	463.717903505726	1.63647764503977e-24
AF	TELOMERE	MR Egger	193	0.00293000616390549	0.0214135988996745	0.891309902460426	463.699221039298	1.05096705419434e-24
AF	TELOMERE	Simple mode	193	0.00175047943796597	0.0270354547038422	0.948442366587166		
AF	TELOMERE	Weighted median	193	0.00302309329034334	0.0119962654361258	0.801038847299427		
AF	TELOMERE	Weighted mode	193	0.00674886014664383	0.0162751469719765	0.678844418068398		
COPD_FIG_UKBB	TELOMERE	Inverse variance weighted	4	0.0156569318047884	0.042400740743661	0.711933334832026	8.74259957036614	0.0329163456040302
COPD_FIG_UKBB	TELOMERE	MR Egger	4	0.366411967584666	0.121784594477783	0.0949913222713067	0.0874590168379915	0.957212840473209
COPD_FIG_UKBB	TELOMERE	Simple mode	4	-0.05896135261127	0.0588430642243731	0.390171828675346		
COPD_FIG_UKBB	TELOMERE	Weighted median	4	0.00810213647911871	0.0374320455028769	0.828637615374634		
COPD_FIG_UKBB	TELOMERE	Weighted mode	4	0.0935857873581815	0.0506451555383749	0.161766336685614		
CREATININE	TELOMERE	Inverse variance weighted	31	0.0136598822187861	0.0416080935507116	0.742685841605301	93.9931882335756	1.60924914751893e-08
CREATININE	TELOMERE	MR Egger	31	0.383784355222685	0.206497049009725	0.0732684396199104	84.2899013243511	2.68227375535813e-07
CREATININE	TELOMERE	Simple mode	31	-0.0542033860321975	0.08830955840799	0.543981670349313		
CREATININE	TELOMERE	Weighted median	31	0.00672931607894204	0.0390348621851772	0.863128996245546		
CREATININE	TELOMERE	Weighted mode	31	0.0260613542078126	0.0770840205665035	0.737649815407645		
CRCCANCER	TELOMERE	Inverse variance weighted	4	-0.0596566329777271	0.0717178445166115	0.405508226663171	1.32890284760942	0.722281518705264
CRCCANCER	TELOMERE	MR Egger	4	-0.230717153506424	0.404652149767237	0.626080016204356	1.14440273589055	0.564281878395634
CRCCANCER	TELOMERE	Simple mode	4	0.0138206669542438	0.109864273970342	0.907849164440239		
CRCCANCER	TELOMERE	Weighted median	4	-0.0602337955877118	0.0840090681144876	0.473379283953712		
CRCCANCER	TELOMERE	Weighted mode	4	-0.0980114351833002	0.0972593593382076	0.387817126425387		
CREAC	TELOMERE	Inverse variance weighted	537	-0.037416820230488	0.00611305350192883	9.31026595888617e-10	1531.17608361458	1.53981819381701e-96
CREAC	TELOMERE	MR Egger	537	-0.0149366897143072	0.0110184060720367	0.175794441007732	1514.22519787078	2.25675352718408e-94
CREAC	TELOMERE	Simple mode	537	-0.0291676646585078	0.0175339406955333	0.096797435004264		
CREAC	TELOMERE	Weighted median	537	-0.0256172005833487	0.00739050112769365	0.000527805219746668		
CREAC	TELOMERE	Weighted mode	537	-0.0248949735490542	0.00767173809226276	0.00124767921508175		
CSTC	TELOMERE	Inverse variance weighted	820	-0.0162752755315191	0.00491921735165539	0.000937941258207556	2045.30869062662	3.93234601845273e-106
CSTC	TELOMERE	MR Egger	820	-0.00725039621138986	0.0100727295995734	0.471850972817591	2042.67624932558	5.4822242437646e-106
CSTC	TELOMERE	Simple mode	820	0.0180688672914677	0.0173721061094169	0.298596657241861		
CSTC	TELOMERE	Weighted median	820	0.00284081485140356	0.00593190274628109	0.632006577567604		
CSTC	TELOMERE	Weighted mode	820	0.0090181734447452	0.00737175717546068	0.221552753654761		
MDD	TELOMERE	Inverse variance weighted	63	-0.111707184171583	0.0243412854781384	4.44934229421101e-06	90.922519559616	0.00977705815373708
MDD	TELOMERE	MR Egger	63	0.156373266772883	0.242716682231068	0.521820517048193	89.1221551394289	0.0109150167979294
MDD	TELOMERE	Simple mode	63	-0.193302636693742	0.0839700706730147	0.0247044295729319		
MDD	TELOMERE	Weighted median	63	-0.122372522998086	0.0307660734916603	6.96391911556399e-05		
MDD	TELOMERE	Weighted mode	63	-0.190496459861899	0.0814103044299099	0.0225203772996415		
DBP	TELOMERE	Inverse variance weighted	317	-0.0231703342254335	0.0141875156978301	0.102437557155729	1381.19235125473	7.56096783316018e-133
DBP	TELOMERE	MR Egger	317	-0.151396307540791	0.0647674235487782	0.0200371597913136	1363.38137008253	3.4991105681818e-130
DBP	TELOMERE	Simple mode	317	0.00582712780080663	0.0364776779151579	0.873183984490296		
DBP	TELOMERE	Weighted median	317	-0.00458803367715079	0.0111921040379981	0.681853727566862		
DBP	TELOMERE	Weighted mode	317	-0.00414201111050483	0.0320298144175318	0.897188804750397		
EMPHYSEMA	TELOMERE	Inverse variance weighted	3	-0.0185101026687632	0.0105544632494816	0.0794698986135183	1.0736816329731	0.584592172152268
EMPHYSEMA	TELOMERE	MR Egger	3	-0.0527322146388417	0.0785854230923016	0.623752078342807	0.880558213993279	0.348048834700898
EMPHYSEMA	TELOMERE	Simple mode	3	-0.0156851926597604	0.0157927719456651	0.425280588222734		
EMPHYSEMA	TELOMERE	Weighted median	3	-0.018489590588691	0.012049567721082	0.124916304093666		
EMPHYSEMA	TELOMERE	Weighted mode	3	-0.0184325865355918	0.0148822315248057	0.341156075738298		
ENDOMETRIOSIS_FIG_UKBB	TELOMERE	Inverse variance weighted	26	-0.00874620678529036	0.00732768436613815	0.232640737452875	19.7181610937234	0.761448924885145
ENDOMETRIOSIS_FIG_UKBB	TELOMERE	MR Egger	26	0.0493833946674979	0.0266519554917898	0.076232929398881	14.572125366979	0.932656214222411
ENDOMETRIOSIS_FIG_UKBB	TELOMERE	Simple mode	26	-0.0300858101499343	0.020794879306603	0.160379018662726		
ENDOMETRIOSIS_FIG_UKBB	TELOMERE	Weighted median	26	-0.0112974521347171	0.0108743947423197	0.298849388499535		
ENDOMETRIOSIS_FIG_UKBB	TELOMERE	Weighted mode	26	-0.0256427906098066	0.0186355959806402	0.181020632565131		
EOSINO	TELOMERE	Inverse variance weighted	638	-0.0424660563839205	0.00671798555239903	2.59458317177422e-10	2028.81935107353	1.04175815236397e-144
EOSINO	TELOMERE	MR Egger	638	-0.052970928784626	0.0159434226176983	0.000943510757261173	2027.13666473518	1.0392390668761e-144
EOSINO	TELOMERE	Simple mode	638	-0.0768831891702704	0.026554893647295	0.00391828763393996		
EOSINO	TELOMERE	Weighted median	638	-0.0291519893320789	0.00703621688683043	3.42591648859464e-05		
EOSINO	TELOMERE	Weighted mode	638	0.0121382887237693	0.0138052809428566	0.379597471911864		
EPILEPSY	TELOMERE	Inverse variance weighted	5	0.0194520755296661	0.0391023270792464	0.618860522345724	8.59929043780125	0.0719340652165001
EPILEPSY	TELOMERE	MR Egger	5	0.651121638705085	0.30969020246446	0.126265181367296	3.58428597928068	0.309993916178909
EPILEPSY	TELOMERE	Simple mode	5	0.04872877161328	0.0515870353287713	0.398351986380752		
EPILEPSY	TELOMERE	Weighted median	5	0.0454245113408794	0.0369271772137402	0.218655699080595		
EPILEPSY	TELOMERE	Weighted mode	5	0.0554234634165383	0.0447766758466352	0.283487788990196		
AFFH	TELOMERE	Inverse variance weighted	113	0.0120684070641964	0.00989617336821147	0.222653569691228	216.455039987541	1.20971246426821e-08
AFFH	TELOMERE	MR Egger	113	0.0482561757513574	0.029346665883561	0.102933358195646	213.162974904207	1.95585704091336e-08
AFFH	TELOMERE	Simple mode	113	0.0170737750427763	0.0244905737471052	0.487149128171217		
